Fit Bit Yoga,+(91)-9152407271,4.3,36,,
Gnosis Medical Yoga At Unna..,+(91)-9152231355,4.7,144,,
Rising Fitness Club,+(91)-9152179001,4.1,99,,
Golds Gym,+(91)-9152302274,4.1,294,,
Real Body Yoga Institute,+(91)-9152516397,4.5,62,,
Arihant Reiki Vedic Healing..,+(91)-9552150606,4.7,55,,
Hope Foundation,+(91)-7276760289,4.5,5,,
Dr. Manisha Joshis Gynaec C..,+(91)-9970175389,4.8,41,,
Dr. Vinod Yoga Clinic,+(91)-9152182688,4.4,9,,
Lele Guruji Yogasan Varga,+(91)-9152496372,4.0,44,,
Arkfit Arena,+(91)-8446289777,4.2,317,,
Definition The Body Works,+(91)-9152451867,4.1,69,,
Nvie Fitness,+(91)-9152461385,4.4,92,,
Dr. Vinod Yoga Clinic,+(91)-9152182688,4.4,9,,
Lele Guruji Yogasan Varga,+(91)-9152496372,4.0,44,,
fitnesswithsushil.com,+(91)-9152227039,4.8,4,,
Multifit S B Road,+(91)-9152425635,4.2,172,,
Patanjali Yoga,+(91)-9764954463,4.0,3,,
Yours Truly Care,+(91)-9152645412,4.7,23,,
Vishwanand Yoga,+(91)-9152461476,4.0,5,,
Fitness Master,+(91)-9152434894,4.4,45,,
Maisha Stay Healthy Stay Be..,+(91)-9152962532,4.1,11,,
Archanas Power Yoga Classes,+(91)-9152919046,4.9,41,,
Institute Of Yoga,+(91)-020-25444868,4.5,22,,
Satyam Yoga Centre,+(91)-9152871772,4.5,47,,
Impulse Fitness,+(91)-9152295805,4.1,126,,
Fitness Mantras,+(91)-9152461646,3.9,111,,
Yours Truly Care,+(91)-9152645412,4.7,23,,
The Learning Pod,+(91)-9152916231,4.0,19,,
Niramaya Yoga,+(91)-9152783297,3.5,2,,
Body Fuel Fitness Club,+(91)-9152461136,4.1,265,,
Om Prem Shanti,+(91)-9823165568,5.0,2,,
Fitline Gym,+(91)-9158545123,4.2,14,,
Champion Fitness Club,+(91)-9511986909,4.4,134,,
Pooja Dance And Yoga Centre,+(91)-9881655123,4.6,31,,
The Life Sports,+(91)-9152501019,3.9,119,,
5 Fit Fitness Club,+(91)-9511263332,5.0,14,,
Samsara The Yoga Studio,+(91)-9152438082,4.9,28,,
Fitness Mantras,+(91)-9152609652,3.9,81,,
FITZONE Wellness Center,+(91)-9325087545,4.5,4,,
Pink Studio Zumba  and   Da..,+(91)-9152436915,4.6,99,,
Ansha Ayurveda and Panchaka..,+(91)-8408041394,4.7,12,,
Fitness Mantras,+(91)-9152609652,3.9,81,,
Yogdarshan Yogasan Varg & F..,+(91)-9152449228,4.6,15,,
Aim Fitness,+(91)-9152363359,4.4,7,,
The Life Sports,+(91)-9152501019,3.9,119,,
5 Fit Fitness Club,+(91)-9511263332,5.0,14,,
FITZONE Wellness Center,+(91)-9325087545,4.5,4,,
FIT 7 - BY Ms Dhoni,+(91)-9152477829,4.2,246,,
Ph Prime Yoga,+(91)-9152451962,4.7,66,,
5 Fit Fitness Club,+(91)-9511263332,5.0,14,,
Ph Prime Yoga,+(91)-9152451962,4.7,66,,
FITZONE Wellness Center,+(91)-9325087545,4.5,4,,
Funk And Fusion,+(91)-9152290429,4.2,107,,
XMenia Fitness Club,+(91)-9152107818,4.4,613,,
Kalangan Bharatnatyam Dance..,+(91)-9152435445,4.5,5,,
Fit 2 Fitness Gym,+(91)-9152692595,4.4,15,,
Ace Fitness Club,+(91)-9112633705,4.2,183,,
Swastimansh Physiotherphy a..,+(91)-8879032033,5.0,5,,
Sai Siddha Yoga Studio,+(91)-9152442331,4.9,31,,
Yogalife Studio,+(91)-9152862008,4.4,6,,
Soham Yoga Classes,+(91)-9152405112,4.8,24,,
Rhitam Yoga & Meditation Ce..,+(91)-9152842051,4.9,20,,
Postures Yoga Art Studio,+(91)-9152906986,4.8,39,,
Yogalaya Pune,+(91)-9152470528,4.8,29,,
Total Fitness,+(91)-9152410501,4.3,141,,
Serenity Yoga Studio,+(91)-9152407275,5.0,28,,
Ananyanish Nirvana Acupress..,+(91)-9921002785,4.8,39,,
Absolute Fitness,+(91)-9152548312,4.7,69,,
Moves Dance And Fitness,+(91)-9152254649,4.7,101,,
Dancing Waves and Fitness S..,+(91)-9152211454,4.7,15,,
Mk Fitness,+(91)-9152340271,3.8,109,,
Millionaire Kids Internatio..,+(91)-9152783256,4.3,4,,
S K Fitness 4 All,+(91)-9152351470,4.4,93,,
Pedal to Fly,+(91)-9152682019,4.9,14,,
Serenity Yoga Studio,+(91)-9152407275,5.0,28,,
Sushrut Yoga Centre,+(91)-9152251051,3.6,5,,
Total Fitness,+(91)-9152410501,4.3,141,,
Art4 Fun Recreation Hub,+(91)-9152295674,4.3,237,,
Universal Yoga Studio,+(91)-9152387395,4.8,9,,
Asad Dance Acedemy,+(91)-9152180590,4.9,27,,
Yoga With Anshu,+(91)-9152468956,4.7,74,,
Shree Yogasna Wellness,+(91)-9152357562,4.8,3,,
Silver Fitness Club,+(91)-9152425568,4.0,288,,
Muscle Time Fitness,+(91)-9152451445,4.5,23,,
Fit Box Gym,+(91)-9152431869,4.2,157,,
Revive Fitness Club,+(91)-9152470855,4.5,121,,
Kidzee Pre Primary School,+(91)-9579851236,4.8,7,,
Yog Jeevan,+(91)-9325608827,4.8,63,,
Energy24x7 Fitness and Athl..,+(91)-7385060682,4.1,37,,
High Fit Fitness Clubs,+(91)-8830026337,4.8,2,,
Energy24x7 Fitness and Athl..,+(91)-7385060682,4.1,37,,
Fitness Mantras,+(91)-9152301063,3.6,166,,
Chaitanya Yog,+(91)-9763311356,3.5,2,,
Balanced Bodies,+(91)-9152300478,4.6,8,,
Fitness Mantras,+(91)-9152564744,4.1,23,,
Om Yoga Classes,+(91)-9152641592,4.9,37,,
Happy Fit Yoga Dance and Fi..,+(91)-9152330341,4.9,10,,
Metafit,+(91)-9152463069,4.0,101,,
The Fit Bar Fitness Club,+(91)-7038111126,4.9,172,,
Studio Fm,+(91)-9152449312,4.3,175,,
The Fit Bar Fitness Club,+(91)-7038111126,4.9,172,,
Spa Fitness,+(91)-9152389910,4.1,209,,
Art Institute,+(91)-9152554192,3.5,5,,
Jagruti Spa And Wellness Ac..,+(91)-8975130865,4.2,9,,
Shaurya Martial Arts and Fi..,+(91)-9109361581,5.0,46,,
F3 Fit Lounge,+(91)-9152463014,4.1,211,,
Pampers Yoga Studio,+(91)-9152155820,4.5,76,,
Nucleus Your Fitness Powerh..,+(91)-9152458160,4.8,14,,
Noisy Boys Football Academy,+(91)-9152348412,4.1,6,,
Shubham Health,+(91)-9152703431,4.1,209,,
High Fit Fitness Club,+(91)-9823733646,4.5,13,,
The Power Factory,+(91)-9881972424,4.8,42,,
Yog Vedant Gurukul,+(91)-8806336925,5.0,1,,
Yoga For Healthy Life,+(91)-9869908570,3.5,2,,
RadhaS Lifestyle Yoga,+(91)-9152423732,4.1,14,,
Silver Sports Club,+(91)-9152426033,3.9,408,,
Madhuri Patil,+(91)-9152436614,4.4,24,,
Sunshine Fitness Club &  sw..,+(91)-9152136254,4.1,163,,
Rich Heritage Yoga,+(91)-9152135183,4.9,40,,
Madhuri Patil,+(91)-9152436614,4.4,24,,
Sunshine Fitness Club &  sw..,+(91)-9152136254,4.1,163,,
Roar Gym And Fittness Club,+(91)-9152937250,3.3,3,,
Classic fitness & nutrition,+(91)-9152306862,4.9,119,,
Saraswati School & Day Care..,+(91)-9225578095,4.3,36,,
Highfit Fitness Club,+(91)-8888827129,4.7,193,,
Aarogyam Yoga And Therapy C..,+(91)-9152499951,4.6,50,,
Vencer Fitness Club,+(91)-9152340901,5.0,41,,
Silver Fitness Club,+(91)-9152157954,4.1,9,,
Workout Club,+(91)-9152337371,4.7,135,,
Royal Fitness Gym,+(91)-9152302298,4.6,107,,
Universal Fitness Club,+(91)-9152461280,4.2,156,,
Maximus Gym,+(91)-9152556923,4.6,274,,
Yoga Care 4 You,+(91)-9607074300,4.1,22,,
Xtrim Fitness,+(91)-9152285857,4.0,188,,
Slimline Fitness,+(91)-9152929115,4.1,32,,
Swasthyamrut Ayurved Clinic,+(91)-9152945470,4.6,32,,
Saste Sports Zeal Academy,+(91)-9152297981,4.4,10,,
Aaditya Learning and Wellne..,+(91)-9152405531,4.8,7,,
Sampurna Swasthya Yoga Kend..,+(91)-9152731916,4.8,25,,
Slimline Fitness,+(91)-9152929115,4.1,32,,
Koya Fitness Academy & Yog ..,+(91)-9152265780,4.9,7,,
Elite Fitness Academy,+(91)-9152271617,5.0,11,,
Sampurna Swasthya Yoga Kend..,+(91)-9923732687,4.8,124,,
